snapshot,merowe_dongola,merowe_atbara,merowe_khartoum,atbara_khartoum,atbara_portsudan,khartoum_kosti,khartoum_medani,medani_sennar,kosti_sennar,sennar_roseires,sennar_gedaref,gedaref_kassala,kosti_elobeid
2024-08-01 00:00:00,87.01545296461268,-122.0737299601584,580.523179446919,-450.0,180.0,-0.0,-0.0,-69.61236237169015,-27.2770426880722,-2.189627194753598,-165.51368553316019,87.01545296461268,39.15695383407571
2024-08-01 01:00:00,87.01553135620281,-122.0735966944552,580.5232970343043,-450.0,180.0,-0.0,-0.0,-69.61242508496225,-27.277179873354925,-9.690081865976339,-165.51350131292338,87.01553135620281,39.15698911029126
2024-08-01 02:00:00,87.01594412882295,-122.07289498100101,580.5239161932344,-450.0,180.0,-0.0,-0.0,-69.61275530305836,-27.277902225440165,5.607524052826875,-173.31253129726605,79.21594412882295,39.157174857970325
2024-08-01 03:00:00,87.01785384648487,-122.06964846097571,580.5267807697273,-450.0,180.0,-0.0,-0.0,-69.61428307718789,-27.281244231348523,52.21071230789092,-219.92230807826374,-0.0,39.15803423091819
2024-08-01 04:00:00,87.02561015004272,-122.05646274492739,580.5384152250641,-450.0,180.0,-0.0,-0.0,-0.0,124.99999999999999,-0.0,132.5,79.22561015004273,-0.0
2024-08-01 05:00:00,87.05323301603084,-122.00950387274759,580.5798495240463,-450.0,180.0,-0.0,-0.0,-69.64258641282468,-27.343157778053993,-227.7680601903815,52.43440628507504,79.25323301603085,39.173954857213886
2024-08-01 06:00:00,87.13936383712047,-121.86308147689522,580.7090457556807,-450.0,180.0,-0.0,-0.0,-69.71149106969638,-27.49388671496083,-227.7163816977277,59.58557645966207,79.33936383712047,39.212713726704216
2024-08-01 07:00:00,87.37402993624357,-121.46414910838593,581.0610449043654,-450.0,180.0,-0.0,-0.0,-69.89922394899486,-27.904552388426254,3.5306263697872566,-172.47102964982759,79.57402993624358,39.31831347130961
2024-08-01 08:00:00,87.9311353651326,-120.51706987927457,581.8967030476989,-450.0,180.0,-0.0,-0.0,-0.0,125.0,-0.0,125.0,80.13113536513261,-0.0
2024-08-01 09:00:00,89.07899848952825,-118.56570256780196,583.6184977342923,-450.0,180.0,-0.0,-0.0,-71.2631987916226,-30.88824735667444,-226.55260090628303,51.730056117410555,81.27899848952825,40.08554932028771
2024-08-01 10:00:00,91.119371709323,-115.09706809415093,586.6790575639845,-450.0,180.0,-0.0,-0.0,-0.0,125.0,-0.0,132.5,91.119371709323,-0.0
2024-08-01 11:00:00,94.21860578981936,-109.82837015730706,591.327908684729,-450.0,180.0,-0.0,-0.0,-75.3748846318555,-39.88256013218388,-142.2541899748768,-57.8,-7.8,42.398372605418714
2024-08-01 12:00:00,98.17628487101543,-103.1003157192738,597.2644273065232,-450.0,180.0,-0.0,-0.0,-78.54102789681234,-46.808498524277,-221.09422907739074,7.3860462723875315,98.17628487101543,44.17932819195694
2024-08-01 13:00:00,102.29866991462644,-96.09226114513501,603.4480048719397,-450.0,180.0,-0.0,-0.0,-0.0,125.0,-0.0,125.0,36.89679561525432,-0.0
2024-08-01 14:00:00,105.59567516850838,-90.48735221353576,608.3935127527626,-450.0,180.0,-0.0,-0.0,-84.47654013480671,-59.79243154488968,-216.64259489889497,-22.662484432458953,105.59567516850838,47.51805382582877
2024-08-01 15:00:00,107.39078281392614,-87.43566921632555,611.0861742208892,-450.0,180.0,-0.0,-0.0,-85.9126262511409,-62.93386992437072,-215.56553031164432,-22.432670396400816,99.59078281392614,48.32585226626676
2024-08-01 16:00:00,108.11287012948779,-86.2081207798708,612.1693051942317,-450.0,180.0,-0.0,-0.0,-86.49029610359023,-64.19752272660361,-116.75464675102914,-123.7347551957037,100.31287012948779,48.6507915582695
2024-08-01 17:00:00,109.61655195146007,-83.65186168251785,614.4248279271901,-450.0,180.0,-0.0,-0.0,-87.69324156116807,-66.82896591505512,-125.47600131846843,-120.20110291406883,101.81655195146007,49.32744837815703
2024-08-01 18:00:00,114.17651088378891,-75.8999314975589,621.2647663256834,-450.0,180.0,-0.0,-0.0,-91.34120870703113,-74.80889404663058,-211.49409346972664,-57.41486907934511,106.37651088378891,51.37942989770501
2024-08-01 19:00:00,122.11425161485086,-62.405772254753515,633.1713774222762,-450.0,180.0,-0.0,-0.0,-97.69140129188068,-88.69994032598899,-205.76265936613498,-83.03150870510048,122.11425161485086,54.95141322668289
2024-08-01 20:00:00,130.0517260533744,-48.912065709263516,645.0775890800617,-450.0,180.0,-0.0,-0.0,-104.04138084269952,-60.55947385180902,-201.96896436797536,-72.17844377457014,122.25172605337441,16.4922299824223
2024-08-01 21:00:00,132.58671242883392,-44.602588870982345,648.8800686432509,-450.0,180.0,-0.0,-0.0,-89.35980955614153,-47.362726157484104,-190.12935110733588,-58.42122579224028,132.58671242883392,-0.0
2024-08-01 22:00:00,126.86355245957684,-54.33196081871938,640.2953286893653,-450.0,180.0,-0.0,-0.0,-101.49084196766147,-75.3844810629677,-203.8818685242539,-79.67065171999442,119.06355245957684,35.461862865517816
2024-08-01 23:00:00,115.27032598370504,-74.04044582770143,622.9054889755575,-450.0,180.0,-0.0,-0.0,-92.21626078696403,-76.72307047148382,-210.837804409777,-61.8448202340054,115.27032598370504,51.87164669266727
2024-08-02 00:00:00,84.4049893756743,-126.51151806135368,576.6074840635115,-450.0,180.0,-0.0,-0.0,-67.52399150053945,-22.708731407430037,-229.35700637459541,63.15979302851906,76.60498937567431,37.98224521905344
2024-08-02 01:00:00,84.40506541551672,-126.51138879362156,576.6075981232751,-450.0,180.0,-0.0,-0.0,-67.52405233241338,-22.708864477154265,-229.35696075068995,70.65948506715725,76.60506541551672,37.98227943698252
2024-08-02 02:00:00,84.40546580495827,-126.51070813157094,576.6081987074374,-450.0,180.0,-0.0,-0.0,-67.52437264396661,-22.70956515867698,12.948298331242029,-171.64715535834807,84.40546580495827,37.982459612231224
2024-08-02 03:00:00,84.40731823109033,-126.50755900714643,576.6109773466355,-450.0,180.0,-0.0,-0.0,-67.52585458487226,-22.712806904408076,-116.20524789726164,-50.0,-0.0,37.98329320399065
2024-08-02 04:00:00,84.41484184554143,-126.49476886257958,576.6222627683121,-450.0,180.0,-0.0,-0.0,-67.53187347643315,-22.7259732296975,12.893917295859694,-171.62512166297762,84.41484184554143,37.986678830493645
2024-08-02 05:00:00,84.44163602554991,-126.44921875656513,576.6624540383249,-450.0,180.0,-0.0,-0.0,-67.55330882043994,-22.772863044712352,12.738511051810463,-171.56215533995768,84.44163602554991,37.99873621149746
2024-08-02 06:00:00,84.52518292200686,-126.30718903258833,576.7877743830103,-450.0,180.0,-0.0,-0.0,-67.62014633760549,-22.91907011351202,-229.28489024679587,70.17300916587217,76.72518292200687,38.03633231490309
2024-08-02 07:00:00,84.75280903815626,-125.92022463513433,577.1292135572344,-450.0,180.0,-0.0,-0.0,-67.80224723052501,-23.31741581677347,3.4337075786936566,-170.8308987603328,84.75280903815626,38.13876406717032
2024-08-02 08:00:00,85.29320130417862,-125.00155778289633,577.939801956268,-450.0,180.0,-0.0,-0.0,-68.2345610433429,-24.263102282312595,51.17592078250718,-220.43746528192344,-0.0,38.38194058688038
2024-08-02 09:00:00,86.40662853484238,-123.10873149076792,579.6099428022636,-450.0,180.0,-0.0,-0.0,-69.12530282787391,-26.211599935974178,1.3415544979141316,-166.94442294312037,86.40662853484238,38.88298284067908
2024-08-02 10:00:00,88.38579055804331,-119.7441560513264,582.578685837065,-450.0,180.0,-0.0,-0.0,-70.70863244643465,-29.675133476575795,-2.3375852366511936,-170.09339218859822,80.58579055804331,39.77360575111949
2024-08-02 11:00:00,91.39204761612477,-114.63351905258787,587.0880714241871,-450.0,180.0,-0.0,-0.0,-73.11363809289982,-34.936083328218345,-225.16477143032515,42.36220715469467,83.59204761612477,41.12642142725615
2024-08-02 12:00:00,95.23099632488497,-108.10730624769553,592.8464944873274,-450.0,180.0,-0.0,-0.0,-76.18479705990796,-41.654243568548694,-222.86140220506903,26.814464884215894,87.43099632488497,42.85394834619824
2024-08-02 13:00:00,99.22970981718763,-101.30949331078102,598.8445647257814,-450.0,180.0,-0.0,-0.0,-79.3837678537501,-48.65199218007836,-220.46217410968742,3.1196752403900874,99.22970981718763,44.65336941773443
