snapshot,coal,diesel,hydro,import,oil,unserved
2024-08-01 00:00:00,0.0,23.25,966.5207552589702,50.0,153.83708711507043,23.738344600890848
2024-08-01 01:00:00,0.0,23.25,966.5216214860412,50.0,153.83727525488675,23.738386932349517
2024-08-01 02:00:00,0.0,23.25,966.5261826234936,50.0,153.83826590917508,23.738609829564393
2024-08-01 03:00:00,0.0,23.25,762.0553284644185,50.0,153.8428492315637,228.23159761634125
2024-08-01 04:00:00,0.0,23.25,614.179271050299,50.0,153.86146436010253,376.19755058869606
2024-08-01 05:00:00,0.0,23.25,966.9382248271409,50.0,153.92775923847404,23.758745828656657
2024-08-01 06:00:00,0.0,23.25,967.8899704001811,50.0,154.13447320908915,23.80525647204506
2024-08-01 07:00:00,0.0,23.25,970.4830307954915,50.0,154.69767184698458,23.931976165571527
2024-08-01 08:00:00,0.0,23.25,620.5179475559281,50.0,156.03472487631825,380.3539113259587
2024-08-01 09:00:00,0.0,23.25,989.322933309287,50.0,158.7895963748678,24.852659184345256
2024-08-01 10:00:00,0.0,23.25,642.835601965261,50.0,160.0,398.67440824816777
2024-08-01 11:00:00,0.0,23.25,824.7018703714283,50.0,160.0,260.16642462814445
2024-08-01 12:00:00,0.0,23.25,1089.8479478247204,50.0,160.0,50.38827752078536
2024-08-01 13:00:00,0.0,23.25,655.688815103013,50.0,160.0,542.2195770026109
2024-08-01 14:00:00,0.0,23.25,1171.8322106120177,50.0,160.0,72.20128499541465
2024-08-01 15:00:00,0.0,23.25,1191.668150093884,50.0,160.0,77.47890147294282
2024-08-01 16:00:00,0.0,23.25,1199.64721493084,50.0,160.0,79.60183818069405
2024-08-01 17:00:00,0.0,23.25,1216.2628990636338,50.0,160.0,84.02266273729263
2024-08-01 18:00:00,0.0,23.25,1266.6504452658673,50.0,160.0,97.42894199833941
2024-08-01 19:00:00,0.0,23.25,1354.362480344102,50.0,160.0,120.76589974766154
2024-08-01 20:00:00,0.0,23.25,1400.040526148191,50.0,160.0,186.13312133851693
2024-08-01 21:00:00,0.0,23.25,1393.709591358714,50.0,160.0,227.92851552067262
2024-08-01 22:00:00,0.0,23.25,1385.2155189370324,50.0,160.0,156.35557997244763
2024-08-01 23:00:00,0.0,23.25,1278.7371021199406,50.0,160.0,100.6447583920928
2024-08-02 00:00:00,0.0,23.25,937.6751326012011,50.0,147.57197450161834,22.328694262864126
2024-08-02 01:00:00,0.0,23.25,937.6759728414597,50.0,147.57215699724014,22.328735324379032
2024-08-02 02:00:00,0.0,23.25,937.6803971447888,50.0,147.57311793189984,22.328951534677465
2024-08-02 03:00:00,0.0,23.25,739.3436686104859,50.0,147.5775637546168,220.68714968785105
2024-08-02 04:00:00,0.0,23.25,937.7840023932329,50.0,147.59562042929943,22.33401459659237
2024-08-02 05:00:00,0.0,23.25,938.0800780823266,50.0,147.6599264613198,22.348483453796955
2024-08-02 06:00:00,0.0,23.25,939.0032712881758,50.0,147.8604390128165,22.39359877788371
2024-08-02 07:00:00,0.0,23.25,941.5185398716267,50.0,148.40674169157504,22.51651688060438
2024-08-02 08:00:00,0.0,23.25,747.0508513463541,50.0,149.7036831300287,223.24735176907623
2024-08-02 09:00:00,0.0,23.25,959.7932453100085,50.0,152.37590848362174,23.409579408814892
2024-08-02 10:00:00,0.0,23.25,981.6629856663785,50.0,157.12589733930395,24.478326901343387
2024-08-02 11:00:00,0.0,23.25,1014.8821261581786,50.0,160.0,30.44261999140682
2024-08-02 12:00:00,0.0,23.25,1057.3025093899787,50.0,160.0,41.7291291951618
2024-08-02 13:00:00,0.0,23.25,1101.4882934799234,50.0,160.0,53.48534686253162
2024-08-02 14:00:00,0.0,23.25,1136.827244293657,50.0,160.0,62.88774644555221
2024-08-02 15:00:00,0.0,23.25,1156.0681055910673,50.0,160.0,68.00703442875455
2024-08-02 16:00:00,0.0,23.25,1163.8077984829147,50.0,160.0,70.06628303527324
2024-08-02 17:00:00,0.0,23.25,1179.9250120917247,50.0,160.0,74.35448285517386
2024-08-02 18:00:00,0.0,23.25,780.2585089009267,50.0,160.0,535.900996745354
2024-08-02 19:00:00,0.0,23.25,834.1557684648373,50.0,160.0,589.7212602241733
2024-08-02 20:00:00,0.0,23.25,1381.8983103637452,50.0,160.0,149.6926276983613
2024-08-02 21:00:00,0.0,23.25,1393.3323664102554,50.0,160.0,172.6590972627494
2024-08-02 22:00:00,0.0,23.25,1364.786987037974,50.0,160.0,123.53947890422114
2024-08-02 23:00:00,0.0,23.25,977.7662809764865,50.0,160.0,353.2366237201855
2024-08-03 00:00:00,0.0,23.25,937.6751326012011,50.0,147.57197450161834,22.328694262864126
2024-08-03 01:00:00,0.0,23.25,937.6759728414597,50.0,147.57215699724014,22.328735324379032
