,derived_net_target_mwh,model_mwh,difference_mwh
hydro,11282490.102551872,11282490.102551822,-5.029141902923584e-08
combustible,4628076.6754114,4628076.675411449,4.842877388000488e-08
other,120433.22203672788,120433.22203672785,-2.9103830456733704e-11
