snapshot,merowe_dongola,merowe_atbara,merowe_khartoum,atbara_khartoum,atbara_portsudan,khartoum_kosti,khartoum_medani,medani_sennar,kosti_sennar,sennar_roseires,sennar_gedaref,gedaref_kassala,kosti_elobeid
2024-08-01 00:00:00,27.015452964612678,-128.23664284508797,580.523179446919,-450.0,173.83708711507043,-0.0,-0.0,-69.61236237169015,-27.2770426880722,-227.7907282212324,52.58741549331863,79.21545296461268,39.15695383407571
2024-08-01 01:00:00,27.015531356202814,-128.23632143956846,580.5232970343043,-450.0,173.83727525488675,-0.0,-0.0,-69.61242508496225,-27.277179873354925,-227.7906811862783,52.587098007378586,79.21553135620282,39.15698911029126
2024-08-01 02:00:00,27.01594412882295,-128.23462907182594,580.5239161932344,-450.0,173.83826590917508,-0.0,-0.0,-0.0,125.0,-0.0,125.0,57.52847542608902,-0.0
2024-08-01 03:00:00,27.01785384648487,-128.22679922941202,580.5267807697273,-450.0,173.8428492315637,-0.0,-0.0,-69.61428307718789,-27.281244231348523,-227.78928769210907,52.57769192173626,79.21785384648487,39.15803423091819
2024-08-01 04:00:00,27.025610150042723,-128.19499838482486,580.5384152250641,-450.0,173.86146436010253,-0.0,-0.0,-69.62048812003418,-27.294817762574766,5.5514611297522265,-173.28981614739962,79.22561015004273,39.16152456751922
2024-08-01 05:00:00,27.053233016030845,-128.08174463427355,580.5798495240463,-450.0,173.92775923847404,-0.0,-0.0,-69.64258641282468,-27.343157778053993,-227.7680601903815,52.43440628507504,87.05323301603084,39.173954857213886
2024-08-01 06:00:00,27.13936383712047,-127.72860826780607,580.7090457556807,-450.0,174.13447320908915,-0.0,-0.0,-69.71149106969638,-27.49388671496083,52.28361830227229,-227.91442354033794,-0.0,39.212713726704216
2024-08-01 07:00:00,27.374029936243574,-126.76647726140135,581.0610449043654,-450.0,174.69767184698458,-0.0,-0.0,-69.89922394899486,-27.904552388426254,52.424417961746144,-221.36482124178647,-7.8,39.31831347130961
2024-08-01 08:00:00,27.931135365132604,-124.48234500295632,581.8967030476989,-450.0,176.03472487631825,-0.0,-0.0,-0.0,10.689524025327614,-0.0,-50.0,-0.0,-0.0
2024-08-01 09:00:00,-60.0,-271.2104036251322,450.0,-450.0,178.7895963748678,-0.0,-0.0,-71.2631987916226,-30.88824735667444,-226.55260090628303,51.730056117410555,81.27899848952825,40.08554932028771
2024-08-01 10:00:00,31.119371709323005,-115.09706809415093,586.6790575639845,-450.0,180.0,-0.0,-0.0,-72.8954973674584,-34.45890049131525,54.6716230255938,-244.03345542275815,-0.0,41.00371726919535
2024-08-01 11:00:00,34.218605789819364,-109.82837015730706,591.327908684729,-450.0,180.0,-0.0,-0.0,-75.3748846318555,-39.88256013218388,-223.4688365261084,23.41464655123157,94.21860578981936,42.398372605418714
2024-08-01 12:00:00,38.176284871015426,-103.1003157192738,597.2644273065232,-450.0,180.0,-0.0,-0.0,-78.54102789681234,-46.808498524277,-221.09422907739074,14.886046272387532,90.37628487101543,44.17932819195694
2024-08-01 13:00:00,42.298669914626444,-96.09226114513501,603.4480048719397,-450.0,180.0,-0.0,-0.0,-81.83893593170114,-54.02267235059626,-90.53228550483331,-137.39812570062787,94.49866991462645,46.0344014615819
2024-08-01 14:00:00,45.59567516850838,-90.48735221353576,608.3935127527626,-450.0,180.0,-0.0,-0.0,-84.47654013480671,-59.79243154488968,-216.64259489889497,-22.662484432458953,105.59567516850838,47.51805382582877
2024-08-01 15:00:00,47.39078281392614,-87.43566921632555,611.0861742208892,-450.0,180.0,-0.0,-0.0,-85.9126262511409,-62.93386992437072,4.50179929195486,-250.0,-0.0,48.32585226626676
2024-08-01 16:00:00,48.11287012948779,-86.2081207798708,612.1693051942317,-450.0,180.0,-0.0,-0.0,-0.0,125.0,-71.26524480429629,196.2652448042963,100.31287012948779,-0.0
2024-08-01 17:00:00,49.61655195146007,-83.65186168251785,614.4248279271901,-450.0,180.0,-0.0,-0.0,-87.69324156116807,-66.82896591505512,-195.67710423253726,-50.0,-0.0,49.32744837815703
2024-08-01 18:00:00,54.17651088378891,-75.89993149755887,621.2647663256834,-450.0,180.0,-0.0,-0.0,-0.0,125.0,-0.0,125.0,20.861710306884987,-0.0
2024-08-01 19:00:00,62.11425161485086,-62.40577225475354,633.1713774222762,-450.0,180.0,-0.0,-0.0,-97.69140129188068,-88.69994032598899,-38.79416807123545,-250.0,-6.887179765994492,54.95141322668289
2024-08-01 20:00:00,70.05172605337441,-48.912065709263516,645.0775890800617,-450.0,180.0,-0.0,-0.0,-104.04138084269952,-102.59052059340519,-66.17845488414167,-250.0,-7.8,58.52327672401848
2024-08-01 21:00:00,72.58671242883392,-44.602588870982316,648.8800686432509,-450.0,180.0,-0.0,-0.0,-0.0,-47.362726157484104,-0.0,-50.0,-0.0,-0.0
2024-08-01 22:00:00,66.86355245957684,-54.33196081871938,640.2953286893653,-450.0,180.0,-0.0,-0.0,-101.49084196766147,-97.01121680425945,-203.8818685242539,-101.29738746128618,97.43681671828509,57.088598606809576
2024-08-01 23:00:00,55.270325983705035,-74.04044582770143,622.9054889755575,-450.0,180.0,-0.0,-0.0,-92.21626078696403,-76.72307047148382,-210.837804409777,-54.3448202340054,107.47032598370504,51.87164669266727
2024-08-02 00:00:00,24.404989375674305,-138.93954355973534,576.6074840635115,-450.0,167.57197450161834,-0.0,-0.0,-67.52399150053945,-22.708731407430037,13.251061621089008,-179.44827496716536,76.60498937567431,37.98224521905344
2024-08-02 01:00:00,24.405065415516717,-138.93923179638142,576.6075981232751,-450.0,167.57215699724014,-0.0,-0.0,-67.52405233241338,-22.708864477154265,-229.35696075068995,63.15948506715725,84.40506541551672,37.98227943698252
2024-08-02 02:00:00,24.40546580495827,-138.9375901996711,576.6081987074374,-450.0,167.57311793189984,-0.0,-0.0,-67.52437264396661,-22.70956515867698,50.64327948297496,-216.842136510081,-7.8,37.982459612231224
2024-08-02 03:00:00,24.40731823109033,-138.92999525252964,576.6109773466355,-450.0,167.5775637546168,-0.0,-0.0,-67.52585458487226,-22.712806904408076,13.237554259676074,-179.44280215693772,76.60731823109033,37.98329320399065
