snapshot,coal,diesel,hydro,import,oil,unserved
2024-08-01 00:00:00,0.0,23.25,900.3578423740405,110.0,160.0,23.738344600890848
2024-08-01 01:00:00,0.0,23.25,900.3588967409279,110.0,160.0,23.738386932349517
2024-08-01 02:00:00,0.0,23.25,518.4624061082018,110.0,160.0,405.6406522540313
2024-08-01 03:00:00,0.0,23.25,900.3901342352215,110.0,160.0,23.73964107710183
2024-08-01 04:00:00,0.0,23.25,900.4944565180747,110.0,160.0,23.74382948102307
2024-08-01 05:00:00,0.0,23.25,900.865984065615,110.0,160.0,23.758745828656657
2024-08-01 06:00:00,0.0,23.25,697.2469385920372,110.0,160.0,228.58276148927817
2024-08-01 07:00:00,0.0,23.25,699.8517322923037,110.0,160.0,229.26094651574394
2024-08-01 08:00:00,0.0,23.25,524.9145043241849,110.0,160.0,411.9920794340203
2024-08-01 09:00:00,0.0,23.25,513.8951867078487,110.0,160.0,439.0700021606516
2024-08-01 10:00:00,0.0,23.25,737.7385338711101,110.0,160.0,243.7714763423187
2024-08-01 11:00:00,0.0,23.25,986.115593977504,110.0,160.0,38.752701022068926
2024-08-01 12:00:00,0.0,23.25,1029.8479478247204,110.0,160.0,50.38827752078536
2024-08-01 13:00:00,0.0,23.25,1075.4003025566221,110.0,160.0,62.50808954900174
2024-08-01 14:00:00,0.0,23.25,1111.8322106120177,110.0,160.0,72.20128499541465
2024-08-01 15:00:00,0.0,23.25,879.2998104811574,110.0,160.0,329.8472410856692
2024-08-01 16:00:00,0.0,23.25,701.7900909064144,110.0,160.0,517.4589622051195
2024-08-01 17:00:00,0.0,23.25,898.6640019777027,110.0,160.0,341.62155982322383
2024-08-01 18:00:00,0.0,23.25,650.9207756096184,110.0,160.0,653.1586116545884
2024-08-01 19:00:00,0.0,23.25,1007.3939890492024,110.0,160.0,407.73439104256107
2024-08-01 20:00:00,0.0,23.25,1076.4500166643575,110.0,160.0,449.7236308223506
2024-08-01 21:00:00,0.0,23.25,736.5282127940777,110.0,160.0,825.1098940853088
2024-08-01 22:00:00,0.0,23.25,1325.2155189370324,110.0,160.0,156.35557997244763
2024-08-01 23:00:00,0.0,23.25,1218.7371021199408,110.0,160.0,100.6447583920928
2024-08-02 00:00:00,0.0,23.25,865.2471071028194,110.0,160.0,22.328694262864126
2024-08-02 01:00:00,0.0,23.25,865.2481298386999,110.0,160.0,22.328735324379032
2024-08-02 02:00:00,0.0,23.25,666.9006704350368,110.0,160.0,220.68179617632939
2024-08-02 03:00:00,0.0,23.25,865.278430208165,110.0,160.0,22.32995184478878
2024-08-02 04:00:00,0.0,23.25,865.3796228225322,110.0,160.0,22.33401459659237
2024-08-02 05:00:00,0.0,23.25,667.3021598836042,110.0,160.0,220.78632811383926
2024-08-02 06:00:00,0.0,23.25,668.2295304342763,110.0,160.0,221.02777864459983
2024-08-02 07:00:00,0.0,23.25,869.9252815632018,110.0,160.0,22.51651688060438
2024-08-02 08:00:00,0.0,23.25,676.7545344763828,110.0,160.0,223.24735176907623
2024-08-02 09:00:00,0.0,23.25,892.1691537936301,110.0,160.0,23.409579408814892
2024-08-02 10:00:00,0.0,23.25,918.7888830056826,110.0,160.0,24.478326901343387
2024-08-02 11:00:00,0.0,23.25,740.1108142602855,110.0,160.0,245.21393188930006
2024-08-02 12:00:00,0.0,23.25,773.5096680264992,110.0,160.0,265.5219705586415
2024-08-02 13:00:00,0.0,23.25,808.2984754095324,110.0,160.0,286.67516493292254
2024-08-02 14:00:00,0.0,23.25,745.892026447908,110.0,160.0,393.8229642913012
2024-08-02 15:00:00,0.0,23.25,674.1834153065583,110.0,160.0,489.8917247132634
2024-08-02 16:00:00,0.0,23.25,679.0863881792221,110.0,160.0,494.78769333896594
2024-08-02 17:00:00,0.0,23.25,614.4254575770607,110.0,160.0,579.854037369838
2024-08-02 18:00:00,0.0,23.25,1168.8009319078915,110.0,160.0,87.35857373838924
2024-08-02 19:00:00,0.0,23.25,1253.8816059337787,110.0,160.0,109.99542275523169
2024-08-02 20:00:00,0.0,23.25,706.5983103637451,110.0,160.0,764.9926276983613
2024-08-02 21:00:00,0.0,23.25,1333.3323664102552,110.0,160.0,172.6590972627494
2024-08-02 22:00:00,0.0,23.25,1015.6015192063687,110.0,160.0,412.7249467358265
2024-08-02 23:00:00,0.0,23.25,727.6855134293571,110.0,160.0,543.3173912673151
2024-08-03 00:00:00,0.0,23.25,865.2471071028194,110.0,160.0,22.328694262864126
2024-08-03 01:00:00,0.0,23.25,666.8962261122357,110.0,160.0,220.6806390508433
2024-08-03 02:00:00,0.0,23.25,865.2535150766887,110.0,160.0,22.328951534677465
2024-08-03 03:00:00,0.0,23.25,865.278430208165,110.0,160.0,22.32995184478878
2024-08-03 04:00:00,0.0,23.25,523.4995133480894,110.0,160.0,364.21412407103514
2024-08-03 05:00:00,0.0,23.25,667.3021598836041,110.0,160.0,220.78632811383926
2024-08-03 06:00:00,0.0,23.25,668.2295304342763,110.0,160.0,221.02777864459983
2024-08-03 07:00:00,0.0,23.25,526.6764049586689,110.0,160.0,365.7653934851373
2024-08-03 08:00:00,0.0,23.25,506.31706919445935,110.0,160.0,393.68481705099964
2024-08-03 09:00:00,0.0,23.25,892.1691537936301,110.0,160.0,23.409579408814892
