name,demand_mwh,unserved_mwh,unserved_fraction
Dongola,16800.0,186.69020501423944,0.011112512203228538
Merowe,7560.000000000002,126.76059225640775,0.016767274107990438
Atbara,28560.000000000004,582.0178252300154,0.020378775393207822
PortSudan,40320.0,5611.996069978079,0.13918641046572616
Khartoum,25200.0,422.53530752135913,0.01676727410799044
WadMedani,13440.0,3920.6539727307727,0.291715325351992
Kosti,21840.000000000004,5299.684675433589,0.24265955473597017
Sennar,15120.000000000004,4135.735998333814,0.27352751311731566
Roseires,10080.0,2907.387456482019,0.2884312952859146
Gedaref,22680.0,6771.457991654872,0.29856516718054993
Kassala,16800.0,5711.39759221194,0.33996414239356787
ElObeid,7560.000000000002,2340.1503131530053,0.3095436922160059
ElFasher,2520.0,2520.0,1.0
Nyala,1680.0,840.0000000000001,0.5000000000000001
ElGeneina,1344.0,504.00000000000017,0.3750000000000001
Kadugli,1008.0,336.0000000000001,0.3333333333333334
EnNahud,1008.0,302.4000000000001,0.3000000000000001
EdDaein,1008.0,378.0000000000001,0.3750000000000001
Zalingei,504.0,285.6,0.5666666666666668
