snapshot,merowe_dongola,merowe_atbara,merowe_khartoum,atbara_khartoum,atbara_portsudan,khartoum_kosti,khartoum_medani,medani_sennar,kosti_sennar,sennar_roseires,sennar_gedaref,gedaref_kassala,kosti_elobeid
2024-08-01 00:00:00,27.015452964612678,1256.763357154912,-262.5779215795598,900.0,208.83708711507043,600.0,-93.10110102647883,-162.71346339816898,447.7229573119278,52.20927177876761,154.48631446683981,87.01545296461268,39.15695383407571
2024-08-01 01:00:00,27.015531356202814,1256.7636785604313,-590.0773022859978,900.0,208.83727525488675,600.0,-420.600599320302,-490.21302440526426,447.7228201266451,52.20931881372169,-165.51350131292338,87.01553135620281,39.15698911029126
2024-08-01 02:00:00,27.01594412882295,1256.7653709281742,-262.5740413822987,900.0,208.83826590917508,600.0,-93.0979575755331,-162.71071287859147,447.7220977745598,52.20956647729377,154.48746870273393,87.01594412882295,39.157174857970325
2024-08-01 03:00:00,27.01785384648487,1256.773200770588,-870.0589546127696,900.0,208.8428492315637,329.7999815403153,-430.3857169228121,-500.0,177.51873730896676,-227.78928769210907,-165.50804346076058,87.01785384648487,39.15803423091819
2024-08-01 04:00:00,27.025610150042723,1256.8050016151751,-682.7976798146625,900.0,208.86146436010253,517.0434168402393,-430.37951187996583,-500.0,489.7485990776645,-227.78463390997436,146.71018385260038,79.22561015004273,39.16152456751922
2024-08-01 05:00:00,27.053233016030845,1256.9182553657265,-270.0794591733563,900.0,208.92775923847404,600.0,-100.65930869740258,-170.30189511022726,447.656842221946,52.23193980961851,146.7750975876725,79.25323301603085,39.173954857213886
2024-08-01 06:00:00,27.13936383712047,1257.271391732194,-994.3990256867482,900.0,209.13447320908915,205.18043748787474,-430.28850893030364,-500.0,177.6865507729139,-227.7163816977277,-173.0224949827669,79.33936383712047,39.212713726704216
2024-08-01 07:00:00,27.374029936243574,1258.2335227385986,-587.2451635036757,900.0,209.69767184698458,600.0,-418.30620840804113,-488.205432357036,447.0954476115737,52.424417961746144,-164.6710296498276,87.37402993624357,39.31831347130961
2024-08-01 08:00:00,27.931135365132604,1260.5176549970438,-255.34403061545243,900.0,211.03472487631825,600.0,-87.24073366315133,-157.58564195525742,446.12051311101794,52.75868121907956,156.63816810806162,87.9311353651326,39.56901091430967
2024-08-01 09:00:00,29.078998489528246,1265.223893807066,-581.575911932727,900.0,213.7895963748678,600.0,-415.1944096670192,-486.4576084586418,444.11175264332553,53.44739909371695,-168.46435354960863,81.27899848952825,40.08554932028771
