snapshot,merowe_dongola,merowe_atbara,merowe_khartoum,atbara_khartoum,atbara_portsudan,khartoum_kosti,khartoum_medani,medani_sennar,kosti_sennar,sennar_roseires,sennar_gedaref,gedaref_kassala,kosti_elobeid
2024-08-01 00:00:00,87.01545296461268,18.449449486760585,350.0,-219.47682055308098,90.0,-0.0,-0.0,-69.61236237169015,-27.2770426880722,-150.0,-17.70331272791377,87.01545296461268,39.15695383407571
2024-08-01 01:00:00,87.01553135620281,350.0,18.449700339849016,112.0735966944552,90.0,-0.0,-0.0,-69.61242508496225,-27.277179873354925,-150.0,-17.70358317889972,87.01553135620281,39.15698911029126
2024-08-01 02:00:00,87.01594412882295,350.0,18.451021212233456,112.07289498100099,90.0,-0.0,-0.0,-69.61275530305836,-27.277902225440165,-150.0,-17.70500724443918,79.21594412882295,39.157174857970325
2024-08-01 03:00:00,87.01785384648487,350.0,18.457132308751596,112.06964846097571,90.0,-0.0,-0.0,-69.61428307718789,-27.281244231348523,-150.0,-25.21159577037281,87.01785384648487,39.15803423091819
2024-08-01 04:00:00,87.02561015004272,350.0,18.481952480136698,112.05646274492739,90.0,-0.0,-0.0,-69.62048812003418,-27.294817762574766,-42.73835501764738,-125.0,87.02561015004272,39.16152456751922
2024-08-01 05:00:00,87.05323301603084,350.0,18.57034565129871,112.00950387274756,90.0,-0.0,-0.0,-69.64258641282468,-27.343157778053993,-150.0,-25.333653905306463,87.05323301603084,39.173954857213886
2024-08-01 06:00:00,87.13936383712047,350.0,18.845964278785516,111.86308147689519,90.0,-0.0,-0.0,-69.71149106969638,-27.49388671496083,-43.13080523806564,-125.0,87.13936383712047,39.212713726704216
2024-08-01 07:00:00,87.37402993624357,350.0,19.596895795979435,111.46414910838593,90.0,-0.0,-0.0,-69.89922394899486,125.00000000000001,-148.53585089161407,125.0,87.37402993624357,-0.0
2024-08-01 08:00:00,87.9311353651326,350.0,21.379633168424334,110.51706987927457,90.0,-0.0,-0.0,-70.34490829210608,-28.879486888982058,-150.0,-20.862417009707485,80.13113536513261,39.56901091430967
2024-08-01 09:00:00,89.07899848952825,350.0,25.052795166490398,108.56570256780196,90.0,-0.0,-0.0,-71.2631987916226,-30.88824735667444,-150.0,-24.822544788872477,81.27899848952825,40.08554932028771
2024-08-01 10:00:00,91.119371709323,350.0,31.581989469833616,105.0970680941509,90.0,-0.0,-0.0,-72.8954973674584,-34.45890049131525,-150.0,-31.86183239716435,90.0,41.00371726919535
2024-08-01 11:00:00,94.21860578981936,350.0,41.49953852742195,99.82837015730709,90.0,-0.0,-0.0,-75.3748846318555,-39.88256013218388,-67.55418997487682,-125.0,90.0,42.398372605418714
2024-08-01 12:00:00,98.17628487101543,350.0,54.16411158724938,93.10031571927377,90.0,-0.0,-0.0,-78.54102789681234,-46.808498524277,-81.2081828050032,-125.0,90.0,44.17932819195694
2024-08-01 13:00:00,102.29866991462644,350.0,67.3557437268046,86.09226114513504,90.0,-0.0,-0.0,-81.83893593170114,-54.02267235059626,-150.0,-70.43041120546118,90.0,46.0344014615819
2024-08-01 14:00:00,105.59567516850838,350.0,77.90616053922682,80.48735221353576,90.0,-0.0,-0.0,-84.47654013480671,-59.79243154488968,-114.30507933135392,-125.0,90.0,47.51805382582877
2024-08-01 15:00:00,107.39078281392614,350.0,83.65050500456363,77.43566921632558,90.0,-0.0,-0.0,-85.9126262511409,-62.93386992437072,-150.0,-95.49820070804515,90.0,48.32585226626676
2024-08-01 16:00:00,108.11287012948779,350.0,85.9611844143609,76.20812077987077,90.0,-0.0,-0.0,-86.49029610359023,-64.19752272660361,-150.0,-90.48940194673284,90.0,48.6507915582695
2024-08-01 17:00:00,109.61655195146007,350.0,90.77296624467223,73.65186168251788,90.0,-0.0,-0.0,-87.69324156116807,-66.82896591505512,-150.0,-95.67710423253725,90.0,49.32744837815703
2024-08-01 18:00:00,114.17651088378891,350.0,105.36483482812449,65.89993149755887,90.0,-0.0,-0.0,-91.34120870703113,-73.42946414892558,-150.0,-117.52953265136674,90.0,50.0
2024-08-01 19:00:00,122.11425161485086,350.0,130.76560516752275,52.40577225475354,90.0,-0.0,-0.0,-88.84864644732812,-83.7485270993061,-150.0,-125.0,90.0,50.0
2024-08-01 20:00:00,125.0,350.0,156.1655233707981,38.912065709263516,90.0,-0.0,-0.0,-71.38620268257634,-94.06724386938672,-150.0,-125.0,90.0,50.0
2024-08-01 21:00:00,125.0,350.0,164.27747977226858,34.602588870982316,90.0,-0.0,-0.0,-106.06936994306714,-57.102588870982316,-150.0,-125.0,-7.8,9.739862713498212
