name,bus,p_nom_mw,marginal_cost_usd_mwh,source_id,source_pdf_page,notes
Egypt_import,Dongola,60,70,WB_STATUS_2024,7,Reported average import used as dispatch ceiling proxy; not a line rating or firm contract
Ethiopia_import,Gedaref,50,60,WB_STATUS_2024,7,Reported post-conflict import level used as dispatch ceiling proxy; not a line rating or firm contract
